Module Name,Phisycal Name,Bench Name,Unit Name,Data Type,Unit Type,Unit Measure,Decimals,LinkChannel,ModuleID,ChannelID,Description
DSG_CanCcp,lbtsaw_w_CCP1_AE31a,,,SINGLE,GENERIC,-,2,,3005,56,
DSG_CanCcp,mshfm_w_CCP1_AE31a,,mshfm_w_CCP1_AE31a,SINGLE,GENERIC,kg/h,2,,3005,57,
DSG_CanCcp,Oil_bPSwtVlvCtl_CCP1_AE31a,,Oil_bPSwtVlvCtl_CCP1_AE31a,SINGLE,GENERIC,,2,,3005,58,
DSG_CanCcp,Oil_tSwmp_CCP1_AE31a,,,SINGLE,GENERIC,deg C,2,,3005,59,
DSG_CanCcp,OilP_p_CCP1_AE31a,,OilP_p_CCP1_AE31a,SINGLE,GENERIC,hPa,2,,3005,60,
DSG_CanCcp,pistnd_w_CCP1_AE31a,,pistnd_CCP1_AE31a,SINGLE,GENERIC,kPa,2,,3005,61,
DSG_CanCcp,psollnd_w_CCP1_AE31a,,,SINGLE,GENERIC,kPa,2,,3005,62,
DSG_CanCcp,psr_w_CCP1_AE31a,,psr_w_CCP1_AE31a,SINGLE,GENERIC,hPa,2,,3005,63,
DSG_CanCcp,psrs_w_CCP1_AE31a,,,SINGLE,GENERIC,hPa,2,,3005,64,
DSG_CanCcp,pvd_w_CCP1_AE31a,,pvd_w_CCP1_AE31a,SINGLE,GENERIC,hPa,2,,3005,65,
DSG_CanCcp,pvds_w_CCP1_AE31a,,,SINGLE,GENERIC,hPa,2,,3005,66,
DSG_CanCcp,rk_w_CCP1_AE31a,,,SINGLE,GENERIC,%,2,,3005,67,
DSG_CanCcp,rl_w_CCP1_AE31a,,rl_w_CCP1_AE31a,SINGLE,GENERIC,%,2,,3005,68,
DSG_CanCcp,rlsol_w_CCP1_AE31a,,,SINGLE,GENERIC,%,2,,3005,69,
DSG_CanCcp,ub_CCP1_AE31a,,,SINGLE,GENERIC,V,2,,3005,70,
DSG_CanCcp,wdkba_w_CCP1_AE31a,,wdkba_w_CCP1_AE31a,SINGLE,GENERIC,%DK,2,,3005,71,
DSG_CanCcp,wdkls_w_CCP1_AE31a,,,SINGLE,GENERIC,%,2,,3005,72,
DSG_CanCcp,wped_w_CCP1_AE31a,,wped_w_CCP1_AE31a,SINGLE,GENERIC,% PED,2,,3005,73,
DSG_CanCcp,ActMod_trqClth_CCP1_AE31a,,,SINGLE,GENERIC,Nm,2,,3005,74,
DSG_CanCcp,ActMod_trqInr_CCP1_AE31a,,,SINGLE,GENERIC,Nm,2,,3005,75,
DSG_CanCcp,B_ldr_CCP1_AE31a,,,SINGLE,GENERIC,,2,,3005,76,
DSG_CanCcp,B_lduv_CCP1_AE31a,,,SINGLE,GENERIC,,2,,3005,77,
DSG_CanCcp,B_lr_CCP1_AE31a,,B_lr_CCP1_AE31a,SINGLE,GENERIC,,2,,3005,78,
DSG_CanCcp,B_master_CCP1_AE31a,,,SINGLE,GENERIC,,2,,3005,79,
DSG_CanCcp,B_phada_CCP1_AE31a,,B_phada_CCP1_AE31a,SINGLE,GENERIC,,2,,3005,80,
